Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),45,78,23,#,112,46,99,68
Badania naukowe i prace rozwojowe (dział 72),0,13,1,5,1,9,14,.
Budownictwo (sekcja F),72,88,120,126,150,79,75,111
Dolnośląskie,56,68,107,125,160,137,180,127
"Dostawa wody, ścieki i odpady (sekcja E)",8,25,35,#,26,24,46,34
Duże (250 i więcej pracujących),236,270,214,267,317,307,356,310
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),10,6,4,#,0,0,6,.
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),11,2,16,#,11,2,24,11
Działalność związana z oprogramowaniem (klasa 62.01),27,40,33,37,71,107,60,79
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),2,1,2,6,8,2,7,3
"Energia elektryczna, gaz, ciepło (sekcja D)",15,1,11,#,22,19,9,12
Handel detaliczny (dział 47),71,50,62,135,152,48,107,98
Handel hurtowy (dział 46),123,136,132,232,248,105,287,214
Handel i naprawa pojazdów (dział 45),43,45,29,51,59,21,53,33
Handel i naprawy (sekcja G),237,231,223,418,459,174,447,345
Informacja i komunikacja (sekcja J),116,106,73,137,142,167,183,134
Informatyka i usługi informacyjne (działy 62÷63),49,65,52,84,120,133,135,106
Kujawsko-pomorskie,31,17,26,62,46,28,43,40
Lubelskie,26,24,15,6,31,14,20,26
Lubuskie,29,13,28,39,46,16,48,23
Mazowieckie,283,351,280,394,406,451,418,428
Małe (10-49 pracujących),466,574,517,799,896,619,915,791
Małopolskie,47,140,73,109,230,96,202,227
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),0,0,0,#,2,2,3,3
Obsługa rynku nieruchomości (sekcja L),19,41,15,54,25,65,28,42
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",27,31,15,#,53,12,80,.
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",6,11,23,22,7,18,17,39
Opolskie,15,29,6,31,19,15,44,24
Podkarpackie,29,46,29,46,43,56,36,60
Podlaskie,9,12,22,32,15,9,41,26
Pomorskie,93,84,68,111,136,88,120,75
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),2,4,0,12,5,14,21,8
Pozostałe (działy 31÷33),39,60,23,26,65,32,68,45
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",26,26,9,32,8,18,23,10
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),3,2,3,8,4,8,10,11
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",3,2,7,10,5,12,14,13
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),61,71,45,69,104,31,94,65
Produkcja pojazdów (działy 29÷30),25,39,26,28,51,50,59,41
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",71,75,61,77,90,106,125,106
Przemysł spożywczy (działy 10÷12),30,46,33,42,55,47,24,36
Przetwórstwo przemysłowe (sekcja C),292,389,287,367,491,413,515,445
Razem (działy 10÷18),48,111,77,102,97,143,89,105
Razem (działy 26÷33),112,132,104,119,200,133,207,169
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),104,101,79,128,150,157,176,144
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),0,13,8,13,10,0,1,9
Telekomunikacja (dział 61),41,15,12,21,14,16,25,18
Transport i gospodarka magazynowa (sekcja H),56,63,70,128,79,127,92,44
Turystyka (dział 79),2,2,7,6,7,6,0,.
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",45,31,48,55,79,39,66,70
Warmińsko-mazurskie,18,27,25,14,18,32,41,22
Wielkopolskie,102,119,48,172,161,109,212,139
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",16,45,1,9,52,28,19,.
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",43,76,16,#,105,40,99,.
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",12,54,21,38,35,78,48,30
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",23,26,46,25,48,43,55,46
Wyżywienie (dział 56),6,34,4,17,19,4,2,23
Zachodniopomorskie,31,9,22,57,49,17,34,43
Zakwaterowanie (dział 55),31,15,4,17,12,5,2,5
Zakwaterowanie i wyżywienie (sekcja I),37,49,8,34,31,9,4,28
Łódzkie,28,71,106,55,136,41,45,38
Śląskie,148,185,111,198,206,143,194,170
Średnie (50-249 pracujących),272,364,260,402,507,336,424,383
Świętokrzyskie,30,12,25,18,18,10,19,12
