Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),132,240,202,260,234,201,189,201
Badania naukowe i prace rozwojowe (dział 72),0,20,19,10,2,80,22,.
Budownictwo (sekcja F),192,180,218,263,257,211,386,212
Dolnośląskie,327,325,383,361,460,378,317,378
"Dostawa wody, ścieki i odpady (sekcja E)",89,108,79,99,74,114,98,113
Duże (250 i więcej pracujących),574,632,628,661,779,733,757,704
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),28,0,25,8,18,23,27,.
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),14,52,43,7,54,1,19,3
Działalność związana z oprogramowaniem (klasa 62.01),134,144,147,191,169,327,191,198
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),0,0,1,10,10,1,2,10
"Energia elektryczna, gaz, ciepło (sekcja D)",20,55,25,34,71,60,21,52
Handel detaliczny (dział 47),360,460,445,451,538,577,266,284
Handel hurtowy (dział 46),711,795,680,810,896,1023,772,703
Handel i naprawa pojazdów (dział 45),90,118,113,125,225,170,127,143
Handel i naprawy (sekcja G),1161,1373,1238,1386,1659,1770,1165,1130
Informacja i komunikacja (sekcja J),315,364,354,466,472,482,391,337
Informatyka i usługi informacyjne (działy 62÷63),201,262,256,358,341,394,288,275
Kujawsko-pomorskie,188,149,137,226,337,211,237,199
Lubelskie,28,115,79,175,159,149,173,163
Lubuskie,75,97,54,105,102,90,61,27
Mazowieckie,903,973,1117,947,1188,1183,999,962
Małe (10-49 pracujących),2393,2638,2381,2835,3379,3252,2694,2493
Małopolskie,313,454,302,560,510,478,463,417
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),6,8,8,5,11,8,6,6
Obsługa rynku nieruchomości (sekcja L),107,119,92,108,159,131,64,107
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",75,164,135,162,101,106,142,.
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",115,46,75,126,109,70,148,87
Opolskie,80,110,79,124,103,67,109,86
Podkarpackie,168,222,133,209,256,199,155,181
Podlaskie,104,118,111,62,125,139,111,101
Pomorskie,438,348,256,353,351,473,351,404
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),22,23,21,62,57,18,44,11
Pozostałe (działy 31÷33),180,140,89,129,183,123,208,152
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",70,45,54,60,64,65,63,28
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),20,29,23,33,31,27,25,15
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",65,44,50,57,44,39,51,30
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),245,262,259,212,300,326,281,262
Produkcja pojazdów (działy 29÷30),83,74,61,91,85,93,64,70
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",286,315,255,263,340,314,322,303
Przemysł spożywczy (działy 10÷12),235,185,210,293,289,199,320,195
Przetwórstwo przemysłowe (sekcja C),1480,1343,1253,1519,1807,1499,1834,1374
Razem (działy 10÷18),452,368,372,575,596,445,665,402
Razem (działy 26÷33),497,398,367,469,571,414,566,407
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),330,366,389,516,480,512,412,354
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),35,18,38,66,22,38,29,22
Telekomunikacja (dział 61),44,57,44,48,67,23,40,34
Transport i gospodarka magazynowa (sekcja H),296,230,216,221,386,395,282,379
Turystyka (dział 79),13,19,21,17,12,16,10,.
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",169,140,167,192,259,159,243,155
Warmińsko-mazurskie,50,128,66,104,107,102,152,77
Wielkopolskie,419,473,596,456,610,642,619,511
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",44,57,46,81,121,79,37,.
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",119,221,181,243,222,185,179,.
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",102,137,87,156,198,176,197,120
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",109,163,104,133,145,174,119,165
Wyżywienie (dział 56),41,43,53,55,84,21,33,24
Zachodniopomorskie,140,111,164,152,203,126,180,162
Zakwaterowanie (dział 55),37,61,46,36,75,18,29,18
Zakwaterowanie i wyżywienie (sekcja I),78,104,99,91,159,39,62,42
Łódzkie,283,253,197,282,282,260,306,303
Śląskie,501,533,368,584,664,875,482,419
Średnie (50-249 pracujących),1132,1241,1112,1296,1433,1467,1339,1248
Świętokrzyskie,81,102,79,91,134,81,78,53
