Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),3612,4040,4301,4540,4782,4674,4764,4800
Badania naukowe i prace rozwojowe (dział 72),117,281,241,299,284,326,373,377
Budownictwo (sekcja F),12432,13502,13689,14395,15192,15190,15692,15593
Dolnośląskie,6779,7253,7616,7948,7830,7725,8186,7800
"Dostawa wody, ścieki i odpady (sekcja E)",1778,1855,1846,1915,1819,1918,2011,2112
Duże (250 i więcej pracujących),3175,3328,3492,3535,3668,3602,3707,3812
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),128,85,90,101,106,119,129,80
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),176,270,264,188,175,192,280,261
Działalność związana z oprogramowaniem (klasa 62.01),854,898,1116,1114,1348,1451,1456,1714
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),57,55,46,48,54,34,72,59
"Energia elektryczna, gaz, ciepło (sekcja D)",523,536,572,544,660,536,498,464
Handel detaliczny (dział 47),11747,12798,12494,12469,12352,11900,11740,11447
Handel hurtowy (dział 46),12269,12857,12700,12851,12957,12553,12794,12729
Handel i naprawa pojazdów (dział 45),2909,3067,3006,3086,3120,2918,2940,2900
Handel i naprawy (sekcja G),26925,28722,28200,28406,28429,27371,27474,27076
Informacja i komunikacja (sekcja J),2477,2804,2827,3011,3181,3159,3310,3433
Informatyka i usługi informacyjne (działy 62÷63),1480,1706,1791,1949,2114,2168,2313,2484
Kujawsko-pomorskie,4984,5083,5302,5046,5067,5121,5288,5439
Lubelskie,3574,3989,3922,4231,4269,4274,4278,4462
Lubuskie,2475,2560,2524,2783,2869,2660,2712,2654
Mazowieckie,15600,17574,17677,17243,18308,18014,18749,18238
Małe (10-49 pracujących),77964,84631,84087,86211,88854,87066,88283,88018
Małopolskie,8739,9451,9783,9856,10385,10081,10077,10038
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),67,74,71,72,70,72,73,75
