Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),1310,1320,1172,1535,1773,1640,1481,1399
Badania naukowe i prace rozwojowe (dział 72),57,169,162,175,257,199,253,268ᵛ
Budownictwo (sekcja F),3548,4010,4005,4507,5483,5428,4760,4348
Dolnośląskie,2729,2975,2841,3313,3473,3186,3481,2876
"Dostawa wody, ścieki i odpady (sekcja E)",996,996,1012,996,1102,1114,1071,1089
Duże (250 i więcej pracujących),2650,2773,2864,2908,3004,3060,3038,3102
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),97,70,82,78,63,82,94,54ᵛ
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),124,153,185,113,91,121,145,138ᵛ
Działalność związana z oprogramowaniem (klasa 62.01),606,642,742,740,919,1095,961,1160
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),25,33,35,18,35,26,51,44ᵛ
"Energia elektryczna, gaz, ciepło (sekcja D)",315,415,375,306,420,375,272,305
Handel detaliczny (dział 47),3376,3990,3531,3723,3964,4021,3560,3436
Handel hurtowy (dział 46),6169,5873,5446,5595,6521,6242,5941,5655
Handel i naprawa pojazdów (dział 45),1175,1061,1222,1223,1248,1263,1009,878
Handel i naprawy (sekcja G),10720,10924,10199,10541,11733,11526,10510,9969
Informacja i komunikacja (sekcja J),1572,1775,1755,1919,1975,2167,2219,2104
Informatyka i usługi informacyjne (działy 62÷63),976,1125,1168,1265,1370,1559,1571,1596
Kujawsko-pomorskie,1969,1789,1768,1715,1908,1768,1970,1718
Lubelskie,1144,1350,1198,1263,1574,1504,1572,1321
Lubuskie,849,772,688,916,798,834,921,841
Mazowieckie,7316,8072,8014,7436,8670,8369,7910,7814
Małe (10-49 pracujących),24829,26959,24447,27062,31099,30411,27889,26256
Małopolskie,3183,3520,3438,3719,3946,4244,3641,3308
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),40,29,32,30,34,39,34,39
Obsługa rynku nieruchomości (sekcja L),1272,1543,1440,1354,1465,1502,1205,1251
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",799,816,745,989,1135,1143,1036,887
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",811,847,660,665,681,655,619,519
Opolskie,787,863,837,859,1037,903,794,812
Podkarpackie,1592,1594,1682,1720,2018,1924,1744,1739
Podlaskie,770,835,824,814,867,909,777,808
Pomorskie,2480,2742,2759,2639,3083,3008,3071,3036
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),83,118,92,153,166,172,194,93ᵛ
Pozostałe (działy 31÷33),1564,1560,1270,1484,1593,1479,1688,1724
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",388,390,386,449,358,407,401,323
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),159,160,143,150,152,168,163,171
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",270,257,241,258,251,298,236,265
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),1890,2156,1939,2224,2291,2479,2240,1951
Produkcja pojazdów (działy 29÷30),395,477,482,475,463,523,500,455
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",2170,2016,1877,1963,2190,2396,2053,2043
Przemysł spożywczy (działy 10÷12),1681,1795,1613,1743,1715,1629,1748,1528
Przetwórstwo przemysłowe (sekcja C),10953,11523,10278,10981,11617,11817,11363,10505
Razem (działy 10÷18),3599,3906,3283,3391,3544,3571,3453,3100
Razem (działy 26÷33),3294,3445,3179,3403,3592,3371,3617,3411
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),1641,1764,1792,1913,2081,2193,2279,2264
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),161,140,174,222,244,174,200,259ᵛ
Telekomunikacja (dział 61),208,260,201,205,247,201,247,185ᵛ
Transport i gospodarka magazynowa (sekcja H),2627,2884,2951,3363,3719,3691,3578,3589
Turystyka (dział 79),86,91,80,102,89,59,49,68
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",1065,1151,1186,1186,1285,1071,1193,967
Warmińsko-mazurskie,804,939,975,897,934,1096,920,987
Wielkopolskie,3903,4423,3452,4446,4387,5014,4548,4071
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",425,413,347,444,549,438,396,444
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",1224,1229,1092,1433,1684,1581,1432,1331
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",1107,1264,1010,983,1148,1287,1086,1053
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",1311,1411,1387,1302,1522,1489,1343,1394
Wyżywienie (dział 56),421,579,571,723,702,652,825,440
Zachodniopomorskie,1391,1274,1319,1419,1547,1528,1170,1484
Zakwaterowanie (dział 55),440,536,304,487,501,390,467,524
Zakwaterowanie i wyżywienie (sekcja I),861,1115,875,1210,1203,1042,1292,964
Łódzkie,2261,2435,2324,2478,2740,2778,2383,2222
Śląskie,4662,4914,4095,5322,6026,5575,5052,4858
Średnie (50-249 pracujących),9119,9633,9636,9803,9793,10020,9919,9324
Świętokrzyskie,756,865,733,817,889,851,894,785
