Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),1180,1152,1065,1335,1598,1393,1322,1248
Badania naukowe i prace rozwojowe (dział 72),57,159,162,175,241,190,244,267ᵛ
Budownictwo (sekcja F),3037,3398,3464,3856,4732,4592,4149,3786
Dolnośląskie,2531,2794,2588,3023,3165,2896,3159,2661
"Dostawa wody, ścieki i odpady (sekcja E)",952,949,936,943,1012,1067,1012,1025
Duże (250 i więcej pracujących),2602,2719,2807,2848,2946,2998,2980,3040
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),85,70,82,78,63,82,89,54ᵛ
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),123,143,173,108,90,121,145,127ᵛ
Działalność związana z oprogramowaniem (klasa 62.01),588,634,713,728,892,1049,937,1117
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),25,33,35,18,35,18,51,44ᵛ
"Energia elektryczna, gaz, ciepło (sekcja D)",294,386,326,291,398,358,259,290
Handel detaliczny (dział 47),3057,3657,3136,3383,3537,3775,3346,3164
Handel hurtowy (dział 46),5800,5570,5103,5138,6054,5791,5560,5269
Handel i naprawa pojazdów (dział 45),1062,1019,1115,1179,1175,1138,904,795
Handel i naprawy (sekcja G),9919,10246,9354,9700,10766,10704,9810,9228
Informacja i komunikacja (sekcja J),1497,1722,1686,1822,1901,2066,2109,1990
Informatyka i usługi informacyjne (działy 62÷63),953,1105,1124,1216,1336,1505,1527,1541
Kujawsko-pomorskie,1791,1613,1585,1435,1758,1588,1727,1565
Lubelskie,932,1197,1071,1149,1283,1388,1425,1112
Lubuskie,812,684,605,813,683,772,841,766
Mazowieckie,6932,7544,7367,6860,7863,7808,7285,7362
Małe (10-49 pracujących),22167,24183,21488,23806,27326,26815,24692,23515
Małopolskie,2836,3239,3117,3414,3670,3879,3221,3115
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),37,27,31,27,32,36,32,34
Obsługa rynku nieruchomości (sekcja L),1201,1489,1371,1280,1423,1389,1147,1212
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",721,708,664,835,1008,922,886,760
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",702,728,548,577,621,592,549,451
Opolskie,727,809,683,767,962,825,757,705
Podkarpackie,1427,1425,1447,1446,1849,1658,1567,1606
Podlaskie,717,783,784,740,811,855,687,767
Pomorskie,2240,2511,2566,2430,2810,2769,2814,2719
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),83,116,92,140,159,171,184,93ᵛ
Pozostałe (działy 31÷33),1479,1412,1161,1309,1453,1415,1435,1588
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",363,388,384,433,348,381,366,294
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),147,159,136,145,143,160,157,169
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",247,248,228,243,242,280,227,263
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),1800,2002,1751,2070,2060,2202,2015,1840
Produkcja pojazdów (działy 29÷30),371,462,458,449,454,480,465,435
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",2024,1879,1766,1792,2036,2252,1899,1891
Przemysł spożywczy (działy 10÷12),1498,1619,1417,1570,1527,1506,1494,1363
Przetwórstwo przemysłowe (sekcja C),10171,10563,9355,10016,10543,10923,10190,9725
Razem (działy 10÷18),3230,3455,2886,3043,3123,3275,3006,2778
Razem (działy 26÷33),3117,3227,2952,3111,3324,3194,3270,3216
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),1553,1711,1706,1823,2005,2092,2193,2172
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),150,140,162,222,244,159,200,259ᵛ
Telekomunikacja (dział 61),181,229,178,173,217,180,216,155ᵛ
Transport i gospodarka magazynowa (sekcja H),2195,2513,2538,2744,3130,3209,2970,3195
Turystyka (dział 79),80,87,75,99,78,49,42,63
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",1020,1105,1105,1110,1175,1019,1143,930
Warmińsko-mazurskie,737,834,891,776,776,973,839,922
Wielkopolskie,3584,4110,3181,4119,3927,4600,4246,3798
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",379,357,326,401,512,422,394,425
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",1100,1065,990,1236,1520,1344,1280,1185
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",1030,1108,921,896,975,1177,963,964
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",1246,1335,1262,1234,1410,1425,1271,1315
Wyżywienie (dział 56),366,513,448,657,609,501,695,327
Zachodniopomorskie,1291,1163,1183,1339,1392,1362,1094,1288
Zakwaterowanie (dział 55),407,490,277,447,459,355,451,476
Zakwaterowanie i wyżywienie (sekcja I),773,1003,725,1104,1068,856,1146,803
Łódzkie,2075,2240,2123,2279,2412,2405,2002,2074
Śląskie,4252,4399,3741,4752,5559,4958,4629,4447
Średnie (50-249 pracujących),8769,9255,9257,9381,9440,9699,9408,9024
Świętokrzyskie,655,808,619,693,792,777,787,672
