Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),640,638,700,880,1133,870,836,744
Badania naukowe i prace rozwojowe (dział 72),32,89,81,71,94,56,129,153ᵛ
Budownictwo (sekcja F),1796,2242,2189,2792,3168,3030,2744,2388
Dolnośląskie,1144,1287,1476,1827,1842,1618,1912,1516
"Dostawa wody, ścieki i odpady (sekcja E)",417,459,475,480,607,564,562,483
Duże (250 i więcej pracujących),1678,1816,1854,1903,2048,1983,2048,2039
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),47,28,32,23,16,37,40,23ᵛ
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),72,103,93,75,70,57,71,43ᵛ
Działalność związana z oprogramowaniem (klasa 62.01),305,309,295,362,457,592,492,470
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),17,10,23,13,25,12,27,30ᵛ
"Energia elektryczna, gaz, ciepło (sekcja D)",198,200,216,167,257,215,139,158
Handel detaliczny (dział 47),1464,1830,1736,1681,2135,1767,1795,1788
Handel hurtowy (dział 46),3056,2649,2525,3015,3552,3217,3241,3020
Handel i naprawa pojazdów (dział 45),556,541,684,595,574,674,549,447
Handel i naprawy (sekcja G),5076,5020,4945,5291,6261,5658,5585,5255
Informacja i komunikacja (sekcja J),812,910,790,988,1050,1195,1200,924
Informatyka i usługi informacyjne (działy 62÷63),480,558,488,635,723,826,792,637
Kujawsko-pomorskie,902,931,850,893,1026,936,1027,850
Lubelskie,581,688,558,660,929,640,865,731
Lubuskie,326,393,357,469,446,345,460,425
Mazowieckie,3787,3883,3989,3985,4856,4393,4423,4028
Małe (10-49 pracujących),11686,12469,12001,14053,16584,15364,14783,13247
Małopolskie,1574,1669,1919,1844,2068,2159,1990,1632
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),17,13,16,15,16,16,22,20
Obsługa rynku nieruchomości (sekcja L),416,572,551,537,543,633,464,468
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",394,386,442,565,796,674,602,471
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",309,371,304,311,349,309,270,255
Opolskie,348,434,452,465,584,400,368,411
Podkarpackie,742,811,812,926,997,1005,825,820
Podlaskie,364,301,407,416,442,446,444,343
Pomorskie,1226,1385,1310,1440,1714,1615,1572,1630
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),33,59,35,85,101,87,105,33ᵛ
Pozostałe (działy 31÷33),730,692,693,906,895,807,867,759
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",174,184,167,213,152,228,217,155
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),75,70,63,81,85,65,72,50
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",118,110,101,129,129,132,108,91
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),802,1060,933,1122,1369,1370,1244,1026
Produkcja pojazdów (działy 29÷30),193,233,229,259,243,329,285,271
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",1075,1157,1000,1180,1322,1261,1212,1054
Przemysł spożywczy (działy 10÷12),853,832,871,978,1006,810,909,871
Przetwórstwo przemysłowe (sekcja C),5146,5607,5238,5966,6732,6154,6191,5395
Razem (działy 10÷18),1653,1857,1678,1786,2097,1762,1848,1700
Razem (działy 26÷33),1616,1533,1627,1878,1944,1761,1887,1615
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),842,876,808,987,1110,1161,1198,1010
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),72,47,75,112,110,91,99,164ᵛ
Telekomunikacja (dział 61),158,168,135,140,175,141,191,132
Transport i gospodarka magazynowa (sekcja H),1602,1539,1731,2060,2230,2062,2176,2173
Turystyka (dział 79),34,40,45,50,51,38,28,45
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",575,498,604,584,677,493,627,494
Warmińsko-mazurskie,315,427,442,470,498,485,449,445
Wielkopolskie,1973,2157,1898,2346,2367,2662,2500,2066
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",212,212,213,265,286,158,206,228
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",606,598,655,830,1082,832,808,699
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",491,654,503,497,742,643,669,574
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",615,659,691,647,864,779,701,641
Wyżywienie (dział 56),249,304,311,284,380,360,404,319
Zachodniopomorskie,632,588,674,599,830,826,667,802
Zakwaterowanie (dział 55),237,266,159,253,244,195,200,260
Zakwaterowanie i wyżywienie (sekcja I),486,570,470,537,624,555,604,579
Łódzkie,1026,1100,1217,1402,1571,1466,1283,1171
Śląskie,2334,2564,1919,2897,3440,2943,2811,2515
Średnie (50-249 pracujących),4276,4701,4765,5139,5526,5036,5249,4573
Świętokrzyskie,365,368,342,457,547,445,485,475
