Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),1335,1385,1259,1623,1836,1718,1533,1475
Badania naukowe i prace rozwojowe (dział 72),57,181,162,175,257,228,267,281ᵛ
Budownictwo (sekcja F),3579,4098,4101,4554,5619,5481,4853,4422
Dolnośląskie,2867,3076,2982,3451,3639,3277,3640,3016
"Dostawa wody, ścieki i odpady (sekcja E)",1011,1011,1024,1009,1117,1132,1085,1112
Duże (250 i więcej pracujących),2691,2821,2908,2961,3072,3120,3114,3170
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),97,70,85,84,70,87,106,55ᵛ
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),125,167,200,118,110,122,146,138ᵛ
Działalność związana z oprogramowaniem (klasa 62.01),617,693,765,796,962,1149,1016,1187
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),25,33,35,28,35,26,51,44ᵛ
"Energia elektryczna, gaz, ciepło (sekcja D)",317,419,393,325,460,384,275,309
Handel detaliczny (dział 47),3516,4136,3625,3903,4164,4124,3626,3558
Handel hurtowy (dział 46),6319,6092,5601,5818,6803,6487,6277,5797
Handel i naprawa pojazdów (dział 45),1191,1097,1245,1278,1316,1326,1063,950
Handel i naprawy (sekcja G),11026,11325,10471,10999,12283,11937,10966,10305
Informacja i komunikacja (sekcja J),1594,1860,1841,2033,2063,2258,2312,2143
Informatyka i usługi informacyjne (działy 62÷63),989,1200,1236,1354,1445,1627,1640,1630
Kujawsko-pomorskie,2025,1794,1806,1795,1976,1820,2048,1749
Lubelskie,1144,1387,1216,1320,1612,1539,1609,1405
Lubuskie,876,791,697,965,827,857,924,841
Mazowieckie,7475,8299,8301,7675,9006,8628,8160,8080
Małe (10-49 pracujących),25501,27861,25349,28148,32475,31426,29010,27150
Małopolskie,3250,3644,3502,3795,4087,4330,3766,3446
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),40,29,34,33,37,40,35,39
Obsługa rynku nieruchomości (sekcja L),1330,1569,1452,1373,1511,1539,1241,1278
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",817,864,808,1052,1165,1174,1084,930
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",829,847,693,708,720,671,682,573
Opolskie,787,890,869,888,1097,905,813,827
Podkarpackie,1620,1636,1721,1800,2090,1973,1776,1807
Podlaskie,793,862,844,820,917,957,840,848
Pomorskie,2569,2890,2830,2704,3203,3068,3205,3129
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),83,119,95,161,166,172,204,93ᵛ
Pozostałe (działy 31÷33),1620,1611,1293,1530,1640,1500,1764,1738
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",393,394,394,466,368,418,416,326
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),161,161,152,153,160,169,165,175
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",287,259,260,265,259,300,244,273
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),1972,2190,2022,2299,2411,2537,2345,1989
Produkcja pojazdów (działy 29÷30),406,482,490,489,487,538,524,481
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",2194,2070,1914,2013,2239,2462,2153,2110
Przemysł spożywczy (działy 10÷12),1751,1824,1650,1829,1768,1688,1852,1565
Przetwórstwo przemysłowe (sekcja C),11270,11762,10592,11396,12062,12135,11934,10810
Razem (działy 10÷18),3703,3996,3373,3592,3669,3682,3662,3214
Razem (działy 26÷33),3401,3506,3283,3492,3743,3454,3774,3497
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),1660,1846,1886,2021,2190,2281,2387,2305
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),161,140,181,222,257,174,214,259ᵛ
Telekomunikacja (dział 61),212,266,211,213,250,213,256,187ᵛ
Transport i gospodarka magazynowa (sekcja H),2723,2937,2985,3416,3872,3706,3622,3708
Turystyka (dział 79),91,96,90,108,93,64,52,68
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",1088,1154,1240,1208,1357,1116,1242,1005
Warmińsko-mazurskie,822,979,997,934,992,1121,946,1025
Wielkopolskie,3961,4541,3611,4594,4555,5125,4783,4180
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",427,425,361,463,578,480,397,477
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",1244,1289,1169,1515,1743,1654,1481,1407
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",1123,1325,1030,1055,1181,1323,1128,1076
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",1328,1430,1417,1334,1577,1516,1360,1421
Wyżywienie (dział 56),434,636,589,747,734,655,828,458
Zachodniopomorskie,1441,1286,1375,1460,1632,1570,1190,1519
Zakwaterowanie (dział 55),443,561,324,496,525,401,474,535
Zakwaterowanie i wyżywienie (sekcja I),877,1197,913,1243,1259,1056,1302,993
Łódzkie,2313,2506,2380,2575,2849,2838,2484,2292
Śląskie,4778,5053,4160,5512,6212,5816,5195,4963
Średnie (50-249 pracujących),9305,9859,9801,10017,10073,10177,10197,9602
Świętokrzyskie,777,908,766,837,927,900,943,796
