Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),112819,122646,132041,152050,149744,178321,196856,205994
Badania naukowe i prace rozwojowe (dział 72),4089,6423,18331,16802,22054,24528,24020,27326
Budownictwo (sekcja F),125256,123740,130701,138286,156329,196598,203034,211460
Dolnośląskie,172591,176324,193644,210061,222359,241486,244690,278244
"Dostawa wody, ścieki i odpady (sekcja E)",38035,41717,40303,41277,48613,55273,58834,62473
Duże (250 i więcej pracujących),1062043,1136765,1185185,1283178,1413813,1652427,1734945,1807823
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),6620,7421,6251,5302,5754,5717,5855,5938
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),8102,17540,19221,20933,21692,22342,24508,32095
Działalność związana z oprogramowaniem (klasa 62.01),50167,57651,68660,71390,81228,86387,91595,99690
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),3260,2767,2674,3010,3705,6407,2432,3860
"Energia elektryczna, gaz, ciepło (sekcja D)",76604,68202,70035,75456,77278,90160,90458,87301
Handel detaliczny (dział 47),244962,245590,294848,322530,369773,421184,444574,411916
Handel hurtowy (dział 46),277381,278960,295896,309540,329281,382569,389936,410762
Handel i naprawa pojazdów (dział 45),52010,52152,62350,65274,72837,84340,78135,89682
Handel i naprawy (sekcja G),574353,576702,653094,697344,771891,888093,912645,912360
Informacja i komunikacja (sekcja J),185545,202004,225364,223576,246449,264705,269700,294758
Informatyka i usługi informacyjne (działy 62÷63),98079,118374,134228,136308,158456,175026,181262,208510
Kujawsko-pomorskie,76059,74210,86850,96007,98227,118970,128519,130621
Lubelskie,57135,53796,64531,67337,85214,99859,103312,96305
Lubuskie,31833,35697,35903,41671,48886,55508,58998,59998
Mazowieckie,747221,770593,830898,844593,922581,1088028,1128346,1163721
Małe (10-49 pracujących),593380,573408,652792,659295,745462,939675,968843,997849
Małopolskie,184175,190077,208765,224810,247675,297895,308161,328781
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),4894,6096,5637,5267,5044,5396,5797,5598
Obsługa rynku nieruchomości (sekcja L),52185,48097,55061,57780,57432,64257,64011,62445
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",54211,59945,72254,74629,84940,106215,109616,123522
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",21741,22155,24803,26094,28095,31213,33788,34256
Opolskie,31225,29349,32625,37098,42365,50722,48206,56790
Podkarpackie,70414,73835,80040,78291,93615,114599,114066,121292
Podlaskie,33584,34874,35940,37892,42223,59831,64993,61108
Pomorskie,114427,123028,133174,147333,164114,198329,202824,222077
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),13882,14298,17420,19801,22758,29278,28755,34685
Pozostałe (działy 31÷33),65100,72328,73610,76653,83184,99384,115999,118856
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",44029,43963,43832,41960,42714,43798,42363,43689
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),15636,17201,17857,22136,22627,23556,24161,27989
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",23547,24369,25679,30868,32443,35205,36519,39864
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),87009,88539,95850,103461,110402,128064,142969,145723
Produkcja pojazdów (działy 29÷30),63856,70849,68651,78572,92944,114491,108870,120918
