Region,2015,2016,2017,2018,2019,2020,2021,2022
Dolnośląskie,172591,176324,193644,210061,222359,241486,244690,278244
Kujawsko-pomorskie,76059,74210,86850,96007,98227,118970,128519,130621
Lubelskie,57135,53796,64531,67337,85214,99859,103312,96305
Lubuskie,31833,35697,35903,41671,48886,55508,58998,59998
Mazowieckie,747221,770593,830898,844593,922581,1088028,1128346,1163721
Małopolskie,184175,190077,208765,224810,247675,297895,308161,328781
Opolskie,31225,29349,32625,37098,42365,50722,48206,56790
Podkarpackie,70414,73835,80040,78291,93615,114599,114066,121292
Podlaskie,33584,34874,35940,37892,42223,59831,64993,61108
Pomorskie,114427,123028,133174,147333,164114,198329,202824,222077
Warmińsko-mazurskie,36393,36905,39102,42535,47126,57794,56048,59960
Wielkopolskie,201466,204962,232533,257767,283624,341783,371558,389429
Zachodniopomorskie,57563,62669,65147,72352,81822,95118,96158,96287
Łódzkie,128587,129245,137439,153142,166242,182327,191066,185587
Śląskie,233925,243487,256995,260948,292623,350858,373397,388219
Świętokrzyskie,31351,34209,41268,41536,42040,58228,55746,60667
