Region,2015,2016,2017,2018,2019,2020,2021,2022
Dolnośląskie,462476,455798,498548,505308,517445,499864,500136,539806
Kujawsko-pomorskie,254830,251158,268818,274574,269711,276203,278644,278613
Lubelskie,184197,179658,195527,195514,214046,213800,220305,200697
Lubuskie,127906,125865,125485,131016,142824,140681,141984,135595
Mazowieckie,1395053,1427396,1547567,1589269,1600252,1682522,1666986,1688331
Małopolskie,462546,474484,502145,571821,547189,559343,544045,556916
Opolskie,102426,100710,108102,117734,121375,122145,117271,125082
Podkarpackie,238934,231068,250432,249227,270956,279726,252522,277614
Podlaskie,108071,108433,111676,119846,123294,132970,137816,132884
Pomorskie,313605,301488,323317,342499,356843,376273,370995,407059
Warmińsko-mazurskie,141727,146188,147746,147032,152146,154859,142963,143283
Wielkopolskie,682129,684299,737974,788649,845108,841322,845559,873258
Zachodniopomorskie,183283,180387,192700,208046,211351,216375,203467,208162
Łódzkie,347888,355867,367415,375197,393297,395046,383086,379925
Śląskie,672855,688834,723921,719467,772621,776303,783594,756269
Świętokrzyskie,108215,113372,124994,121090,124472,133157,129739,206544
