Region,2015,2016,2017,2018,2019,2020,2021,2022
Dolnośląskie,71689,81868,101259,121930,133168,144385,156274,195238
Kujawsko-pomorskie,29157,31599,41070,46378,55429,65219,75086,88225
Lubelskie,17863,19574,25142,30705,40111,50855,52049,59526
Lubuskie,11933,14202,17008,22131,26434,30073,33169,38465
Mazowieckie,361806,405906,503267,564930,607194,737947,787235,884824
Małopolskie,78811,90468,97839,123593,145754,181322,199323,218730
Opolskie,11192,12381,15444,18619,25605,26634,28723,36391
Podkarpackie,26140,28654,32539,32997,43122,56834,62124,70904
Podlaskie,11389,14065,14806,18753,23408,30782,35738,39152
Pomorskie,51848,64018,70374,85182,97614,121723,130888,160154
Warmińsko-mazurskie,11477,14050,16485,19973,24182,26158,29823,37905
Wielkopolskie,94731,108574,123485,145750,169533,209042,227365,263890
Zachodniopomorskie,21815,24075,31652,36907,42827,47578,51914,56582
Łódzkie,48488,53155,61676,77171,83407,99083,107123,116066
Śląskie,87573,106184,122772,130395,158934,190093,222023,248924
Świętokrzyskie,12515,14621,17872,22689,24228,30913,33325,37884
