Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),76033,91943,106148,121506,115223,127192,146735,137167
Badania naukowe i prace rozwojowe (dział 72),4111,6254,16747,15760,20540,22844,22403,25143
Budownictwo (sekcja F),97962,96915,102508,108969,121535,130411,134999,139520
Dostawa wody, ścieki i odpady (sekcja E),25991,29206,28569,28077,33686,33226,34351,35089
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),6179,6727,5502,5097,5091,5295,5152,5203
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),7162,13511,15530,17113,17697,18417,20999,27236
Działalność związana z oprogramowaniem (klasa 62.01),44859,51441,60348,64721,69611,76624,80952,89128
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),2799,2366,2303,2348,3064,5032,2223,3431
Energia elektryczna, gaz, ciepło (sekcja D),46462,40368,43407,44539,46409,52857,49928,48289
Handel detaliczny (dział 47),152142,159263,178776,193938,201900,201238,213319,202811
Handel hurtowy (dział 46),182090,192537,200993,211648,216971,240006,234709,261117
Handel i naprawa pojazdów (dział 45),29687,29767,34585,38296,43095,43245,38105,41898
Handel i naprawy (sekcja G),363919,381567,414354,443882,461966,484489,486133,505826
Informacja i komunikacja (sekcja J),150094,161686,181286,185397,198025,216382,223324,246389
Informatyka i usługi informacyjne (działy 62÷63),85876,101033,115300,120861,134394,152281,158974,183872
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),3124,3666,3113,3259,3283,3145,3172,3126
Obsługa rynku nieruchomości (sekcja L),33593,30516,36025,39520,38348,41090,42940,40651
Ochrona, utrzymanie czystości itp. (działy 80÷82),41486,49008,58898,63983,65357,73125,75196,77635
Odzież, tekstylia, wyroby skórzane (działy 13÷15),13887,18264,17140,17384,17831,18310,19638,19492
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),12447,12651,15423,18357,19605,25459,24835,30524
Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60),32647,32499,32691,32118,31536,32681,32514,32347
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),10811,11973,12449,14868,14194,13740,14981,15617
Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26),16610,17158,18885,22338,22294,22019,24207,24117
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),61953,65113,70672,74803,81479,82524,86041,88680
Produkcja pojazdów (działy 29÷30),51235,52942,57762,64341,70914,70988,70597,75277
Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23),94402,106172,109680,114332,121301,126700,132645,132059
Przemysł spożywczy (działy 10÷12),73767,74980,77449,84924,94498,96932,100645,95810
Przetwórstwo przemysłowe (sekcja C),449064,480415,508152,543387,582702,595447,623853,628410
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),11123,8221,6579,9558,7414,8612,8811,15014
Telekomunikacja (dział 61),31571,28154,33295,32418,32095,31420,31836,30170
Transport i gospodarka magazynowa (sekcja H),107235,118210,135884,150813,173120,181868,176936,186311
Turystyka (dział 79),4283,4612,4917,5195,6321,5939,4863,4537
Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28),56326,57191,59649,66700,73586,73426,70648,74655
Wynajem, dzierżawa, doradztwo personalne (działy 77÷78),30264,38323,42333,52328,43545,48128,66676,54995
Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82),71750,87331,101231,116311,108902,121253,141872,132630
Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18),32371,36099,39014,40508,41816,40035,44054,43689
Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E),72453,69574,71976,72616,80095,86083,84279,83378
Wyżywienie (dział 56),15312,14562,18667,18503,21404,22112,21747,21420
Zakwaterowanie (dział 55),15055,14590,16767,16551,16721,18440,15538,17712
Zakwaterowanie i wyżywienie (sekcja I),30367,29152,35434,35054,38125,40552,37285,39132
