Region,2015,2016,2017,2018,2019,2020,2021,2022
Dolnośląskie,115131,124103,137502,150511,156286,152161,155123,174255
Kujawsko-pomorskie,48231,48311,57901,60074,60671,68913,73467,71556
Lubelskie,42432,39159,49470,51125,56481,56367,62670,61299
Lubuskie,23049,25008,25160,28613,30901,29693,32977,31455
Mazowieckie,497254,529735,611409,631737,640099,708979,720096,743228
Małopolskie,131059,139861,162375,189279,185209,197321,204179,210325
Opolskie,23379,21304,23483,25461,29732,30108,27995,32404
Podkarpackie,53787,55677,61037,60894,74739,76161,68325,75889
Podlaskie,26589,29599,28877,31614,32230,37587,42108,39850
Pomorskie,75272,88015,92349,103906,113321,128164,130300,135678
Warmińsko-mazurskie,23732,28044,29723,26964,31076,29836,30685,31810
Wielkopolskie,149179,155963,172083,190156,214841,210062,217205,227288
Zachodniopomorskie,39372,41211,43760,50177,54947,56549,58629,55478
Łódzkie,89970,88937,92632,102198,110856,103323,106805,106186
Śląskie,163271,178181,180936,184306,204215,216911,226197,221830
Świętokrzyskie,26412,30320,34458,36518,35010,38948,39789,42528
