Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),384024,426330,432101,500532,501982,465500,454273,481717
Badania naukowe i prace rozwojowe (dział 72),5566,7245,20499,18704,24053,25841,25042,28611
Budownictwo (sekcja F),432248,416603,436431,437455,485400,485548,496398,557695
Dolnośląskie,462476,455798,498548,505308,517445,499864,500136,539806
"Dostawa wody, ścieki i odpady (sekcja E)",120381,125493,125562,122774,135903,129652,138069,144447
Duże (250 i więcej pracujących),2575793,2680960,2815509,3022106,3066865,3162090,3138847,3170987
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),6930,7609,6360,5612,6052,5752,5899,5979
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),8324,17669,20036,21166,21917,22386,24574,32119
Działalność związana z oprogramowaniem (klasa 62.01),51840,58997,69804,73547,83199,87680,92589,101595
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),3619,2974,2774,3029,3739,6411,2510,4106
"Energia elektryczna, gaz, ciepło (sekcja D)",129955,120507,125585,124747,123745,134631,122205,116681
Handel detaliczny (dział 47),700694,688690,779038,787143,812429,812421,826035,789727
Handel hurtowy (dział 46),481258,489276,496407,508465,519382,556253,544315,555101
Handel i naprawa pojazdów (dział 45),97401,96404,103027,110617,119986,121387,112711,123551
Handel i naprawy (sekcja G),1279353,1274370,1378472,1406225,1451797,1490061,1483061,1468379
Informacja i komunikacja (sekcja J),200198,213181,237757,236800,257991,271705,276678,301556
Informatyka i usługi informacyjne (działy 62÷63),103212,121529,138132,140470,162187,176910,183242,211330
Kujawsko-pomorskie,254830,251158,268818,274574,269711,276203,278644,278613
Lubelskie,184197,179658,195527,195514,214046,213800,220305,200697
Lubuskie,127906,125865,125485,131016,142824,140681,141984,135595
Mazowieckie,1395053,1427396,1547567,1589269,1600252,1682522,1666986,1688331
Małe (10-49 pracujących),1685132,1598273,1753870,1779751,1864478,1914773,1896425,2007213
Małopolskie,462546,474484,502145,571821,547189,559343,544045,556916
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),5773,7446,7443,7144,7071,6582,6686,6631
Obsługa rynku nieruchomości (sekcja L),101284,93373,102262,112853,101771,103451,106178,95334
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",217200,234490,267949,285826,312818,306499,302847,307861
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",151644,145575,145404,143377,137320,134237,124617,121200
Opolskie,102426,100710,108102,117734,121375,122145,117271,125082
Podkarpackie,238934,231068,250432,249227,270956,279726,252522,277614
Podlaskie,108071,108433,111676,119846,123294,132970,137816,132884
Pomorskie,313605,301488,323317,342499,356843,376273,370995,407059
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),14390,15028,17984,20636,23529,29598,29264,34960
Pozostałe (działy 31÷33),273761,280921,297329,299459,301166,309354,313183,308674
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",51233,50350,50452,48824,48754,48132,45997,46727
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),39543,39933,39346,41654,41019,38406,39228,42499
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",54662,53956,56959,61041,61325,58221,59453,62025
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),324171,322911,355218,365708,376529,379832,382109,383064
Produkcja pojazdów (działy 29÷30),219690,227454,231052,250756,265675,270522,255831,258718
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",397583,417448,422317,446671,467493,477596,483992,483628
Przemysł spożywczy (działy 10÷12),440298,418169,443668,439879,440588,450388,438774,434218
Przetwórstwo przemysłowe (sekcja C),2261741,2270869,2377509,2450990,2512763,2547414,2508624,2526736
Razem (działy 10÷18),774994,746754,789546,788784,787944,794589,773854,772082
Razem (działy 26÷33),764993,783756,810428,849827,880797,895397,868669,887962
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),213273,227851,246820,255342,271313,284208,291221,326360
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),15284,13415,11059,14926,11150,14585,12700,20826
Telekomunikacja (dział 61),45753,41302,49173,47506,47050,46663,47439,43499
Transport i gospodarka magazynowa (sekcja H),532530,538531,592808,629578,655414,699411,681826,732242
Turystyka (dział 79),6225,6320,6999,7653,8764,8808,6786,6476
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",216880,221425,225088,238571,252631,257300,240202,258545
Warmińsko-mazurskie,141727,146188,147746,147032,152146,154859,142963,143283
Wielkopolskie,682129,684299,737974,788649,845108,841322,845559,873258
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",160599,185520,157153,207053,180400,150193,144640,167380
