Region,2015,2016,2017,2018,2019,2020,2021
Administrowanie i działalność wspierająca (sekcja N),2158,2448,2827,3001,3494,3954,3760
Badania naukowe i prace rozwojowe (dział 72),108,117,206,189,257,264,294
Budownictwo (sekcja F),8086,8275,9453,9052,11094,12281,12649
Dolnośląskie,4537,4469,5200,5421,6517,6270,5985
"Dostawa wody, ścieki i odpady (sekcja E)",1137,1293,1429,1501,1547,1550,1702
Duże (250 i więcej pracujących),2947,3070,3227,3392,3460,3599,3563
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),107,111,75,90,101,95,118
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),170,176,249,257,183,171,187
Działalność związana z oprogramowaniem (klasa 62.01),739,788,802,1034,1021,1274,1362
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),63,42,45,46,48,44,34
"Energia elektryczna, gaz, ciepło (sekcja D)",436,411,416,498,430,571,495
Handel detaliczny (dział 47),5949,5729,6964,6356,7631,7522,7510
Handel hurtowy (dział 46),9613,9552,10059,9893,10818,10895,10697
Handel i naprawa pojazdów (dział 45),2135,1940,2365,2235,2490,2543,2289
Handel i naprawy (sekcja G),17697,17221,19388,18484,20939,20960,20496
Informacja i komunikacja (sekcja J),2362,2207,2470,2613,2794,2943,2954
Informatyka i usługi informacyjne (działy 62÷63),1399,1328,1507,1664,1811,2003,2031
Kujawsko-pomorskie,2680,3059,3572,3615,3879,4107,4245
Lubelskie,2184,2222,2555,2417,2956,2950,3124
Lubuskie,1587,1553,1650,1701,2219,2236,2143
Mazowieckie,12330,11746,13308,13168,13954,14891,14925
Małe (10-49 pracujących),48285,47587,55722,53630,62914,67223,66065
Małopolskie,5447,5927,6109,6640,7415,8016,7906
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),65,59,68,60,69,70,71
Obsługa rynku nieruchomości (sekcja L),1392,1303,1562,1718,1773,1854,1994
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",1315,1383,1783,1844,2175,2544,2420
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",1734,1609,2035,1551,2061,2085,1741
Opolskie,1369,1423,1483,1616,1840,1856,1718
Podkarpackie,2532,2584,3042,3036,3667,4179,3564
Podlaskie,1203,1401,1593,1558,1677,2037,2010
Pomorskie,4010,3939,4626,4494,5070,5850,5716
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),175,125,163,118,202,223,216
Pozostałe (działy 31÷33),2797,2721,3067,2914,3281,3519,3401
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",648,569,626,622,625,583,564
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),229,188,262,252,242,254,262
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",402,333,398,392,426,414,461
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),3360,3324,3932,3887,4261,4712,4536
Produkcja pojazdów (działy 29÷30),660,646,740,722,792,833,787
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",3494,3261,3739,3662,3882,3981,4084
Przemysł spożywczy (działy 10÷12),2835,3183,3498,3039,3836,3555,3691
Przetwórstwo przemysłowe (sekcja C),18927,18708,21496,20207,23094,23982,23212
Razem (działy 10÷18),6629,6843,7872,6780,8548,8559,8044
Razem (działy 26÷33),5444,5280,5953,5878,6403,6730,6548
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),2361,2180,2408,2656,2780,3031,3025
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),286,205,198,292,262,303,215
Telekomunikacja (dział 61),315,310,337,327,358,357,359
Transport i gospodarka magazynowa (sekcja H),4715,5133,6207,6259,7688,8322,8132
Turystyka (dział 79),167,156,175,169,175,184,150
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",1585,1580,1748,1850,1904,1964,1899
Warmińsko-mazurskie,1614,1541,1986,1819,2094,2170,2199
Wielkopolskie,7083,6530,7976,7768,9385,9313,9324
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",676,909,869,988,1144,1226,1190
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",1991,2292,2652,2832,3319,3770,3610
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",2060,2051,2339,2190,2651,2919,2612
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",1573,1704,1845,1999,1977,2121,2197
Wyżywienie (dział 56),1465,1472,1673,1426,1956,2155,2027
Zachodniopomorskie,2413,2420,2895,2851,3203,3266,3151
Zakwaterowanie (dział 55),901,837,1014,996,1130,1165,1114
Zakwaterowanie i wyżywienie (sekcja I),2366,2309,2687,2422,3086,3320,3141
Łódzkie,3892,3826,4362,3997,4868,5230,5246
Śląskie,8394,8577,9892,8558,10319,10809,10725
Średnie (50-249 pracujących),11366,11987,13062,13092,14505,14301,14145
Świętokrzyskie,1324,1427,1760,1456,1814,1943,1792
