Region,2015,2016,2017,2018,2019,2020,2021
Administrowanie i działalność wspierająca (sekcja N),3468,3612,4040,4301,4540,4782,4674
Badania naukowe i prace rozwojowe (dział 72),136,117,281,241,299,284,326
Budownictwo (sekcja F),12846,12432,13502,13689,14395,15192,15190
Dolnośląskie,7482,6779,7253,7616,7948,7830,7725
"Dostawa wody, ścieki i odpady (sekcja E)",1797,1778,1855,1846,1915,1819,1918
Duże (250 i więcej pracujących),3072,3175,3328,3492,3535,3668,3602
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),123,128,85,90,101,106,119
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),174,176,270,264,188,175,192
Działalność związana z oprogramowaniem (klasa 62.01),826,854,898,1116,1114,1348,1451
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),70,57,55,46,48,54,34
"Energia elektryczna, gaz, ciepło (sekcja D)",586,523,536,572,544,660,536
Handel detaliczny (dział 47),13264,11747,12798,12494,12469,12352,11900
Handel hurtowy (dział 46),13357,12269,12857,12700,12851,12957,12553
Handel i naprawa pojazdów (dział 45),3209,2909,3067,3006,3086,3120,2918
Handel i naprawy (sekcja G),29830,26925,28722,28200,28406,28429,27371
Informacja i komunikacja (sekcja J),2706,2477,2804,2827,3011,3181,3159
Informatyka i usługi informacyjne (działy 62÷63),1573,1480,1706,1791,1949,2114,2168
Kujawsko-pomorskie,4854,4984,5083,5302,5046,5067,5121
Lubelskie,4038,3574,3989,3922,4231,4269,4274
Lubuskie,2743,2475,2560,2524,2783,2869,2660
Mazowieckie,16389,15600,17574,17677,17243,18308,18014
Małe (10-49 pracujących),84149,77964,84631,84087,86211,88854,87066
Małopolskie,9380,8739,9451,9783,9856,10385,10081
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),72,67,74,71,72,70,72
Obsługa rynku nieruchomości (sekcja L),2654,2427,2645,2609,2632,2636,2570
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",2235,2163,2523,2612,2851,3098,2998
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",3621,3306,3388,3319,3156,3001,2734
Opolskie,2383,2155,2300,2491,2529,2423,2242
Podkarpackie,4966,4760,4786,4917,5115,5681,4791
Podlaskie,2369,2207,2428,2484,2353,2532,2680
Pomorskie,6605,6089,6575,6642,6700,7154,7007
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),180,152,177,133,211,245,216
Pozostałe (działy 31÷33),4073,3878,4115,4117,4164,4287,4259
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",771,660,733,688,680,673,603
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),281,274,320,298,274,297,289
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",484,454,484,477,474,478,500
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),5389,5240,5581,5540,5715,5900,5909
Produkcja pojazdów (działy 29÷30),867,860,884,915,947,965,950
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",4826,4590,4782,4711,4766,4793,4808
Przemysł spożywczy (działy 10÷12),6080,5753,5764,5555,5474,5390,5320
Przetwórstwo przemysłowe (sekcja C),31157,29662,30842,30473,30565,30747,30335
Razem (działy 10÷18),13364,12519,12773,12490,12231,12031,11642
Razem (działy 26÷33),7578,7313,7706,7732,7853,8023,7976
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),2663,2531,2735,2873,2999,3254,3257
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),307,276,242,302,288,325,250
Telekomunikacja (dział 61),362,337,365,348,382,394,388
Transport i gospodarka magazynowa (sekcja H),7551,7627,8671,8991,9628,10221,10098
Turystyka (dział 79),187,176,194,186,188,191,157
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",2154,2121,2223,2223,2268,2293,2267
Warmińsko-mazurskie,2903,2807,2926,2865,3005,2923,2868
Wielkopolskie,11286,10578,11977,11722,12598,12177,12214
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",1046,1273,1323,1503,1501,1493,1519
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",3281,3436,3846,4115,4352,4591,4517
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",3663,3460,3621,3616,3601,3640,3588
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",2383,2301,2391,2418,2459,2479,2454
Wyżywienie (dział 56),2932,2561,2824,2801,2968,3144,2908
Zachodniopomorskie,4106,3905,4120,4269,4230,4337,4055
Zakwaterowanie (dział 55),1481,1320,1435,1458,1479,1522,1383
Zakwaterowanie i wyżywienie (sekcja I),4413,3881,4259,4259,4447,4666,4291
Łódzkie,6694,6353,6529,6483,6566,6626,6749
Śląskie,13014,12569,13276,12365,13196,13480,13450
Średnie (50-249 pracujących),14486,14828,15507,15918,16324,16211,15870
Świętokrzyskie,2495,2393,2641,2436,2669,2672,2606
