Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),2977,3239,3604,3957,4137,4608,4548,4608
Badania naukowe i prace rozwojowe (dział 72),118,117,281,241,299,284,326,373
Budownictwo (sekcja F),11685,11190,12414,12557,13560,14792,14786,15233
Dolnośląskie,7144,6318,6953,7349,7851,7731,7646,8056
"Dostawa wody, ścieki i odpady (sekcja E)",1734,1736,1803,1820,1886,1812,1910,2011
Duże (250 i więcej pracujących),3056,3165,3316,3479,3528,3665,3600,3706
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),123,128,85,90,101,106,119,129
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),174,176,270,264,188,175,192,280
Działalność związana z oprogramowaniem (klasa 62.01),823,845,898,1111,1114,1348,1432,1456
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),70,49,47,46,48,54,34,72
"Energia elektryczna, gaz, ciepło (sekcja D)",572,515,530,572,544,660,532,494
Handel detaliczny (dział 47),11597,10358,11702,11676,11814,12187,11691,11559
Handel hurtowy (dział 46),12718,11931,12544,12324,12664,12870,12538,12687
Handel i naprawa pojazdów (dział 45),3073,2846,3043,2946,3048,3081,2918,2896
Handel i naprawy (sekcja G),27388,25135,27289,26946,27526,28138,27147,27142
Informacja i komunikacja (sekcja J),2657,2445,2793,2806,3005,3181,3137,3310
Informatyka i usługi informacyjne (działy 62÷63),1544,1456,1699,1777,1949,2114,2149,2313
Kujawsko-pomorskie,4066,4616,4881,5102,4888,5000,5057,5159
Lubelskie,3700,3358,3821,3700,4061,4165,4231,4256
Lubuskie,2561,2334,2466,2454,2675,2831,2619,2690
Mazowieckie,15390,14733,16600,16962,16620,18061,17657,18427
Małe (10-49 pracujących),76219,71655,79261,79108,82383,87339,85499,86681
Małopolskie,8517,8141,8830,9311,9519,10246,9893,9989
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),72,67,74,69,72,70,72,73
Obsługa rynku nieruchomości (sekcja L),2530,2331,2601,2564,2573,2603,2562,2461
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",1909,1996,2314,2524,2665,2989,2924,2931
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",2997,2765,2997,2975,2859,2895,2660,2573
Opolskie,2249,2012,2136,2334,2382,2360,2154,2399
Podkarpackie,4661,4467,4504,4443,4953,5556,4735,5181
Podlaskie,2157,2096,2347,2308,2292,2510,2649,2505
Pomorskie,6248,5734,6150,6257,6429,7060,6912,7239
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),180,152,177,133,211,245,216,242
Pozostałe (działy 31÷33),3842,3628,3851,3953,3966,4232,4208,4280
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",758,655,729,682,680,673,600,611
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),279,268,315,298,274,296,289,327
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",471,442,479,477,474,477,500,502
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),5027,4957,5471,5372,5536,5833,5785,5894
Produkcja pojazdów (działy 29÷30),860,840,864,908,939,965,950,967
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",4655,4435,4635,4629,4726,4775,4795,4787
Przemysł spożywczy (działy 10÷12),5210,5311,5378,5167,5240,5302,5166,5133
Przetwórstwo przemysłowe (sekcja C),28432,27694,29318,29035,29419,30390,29836,29978
Razem (działy 10÷18),11521,11375,11825,11516,11530,11823,11341,11269
Razem (działy 26÷33),7229,6927,7387,7518,7627,7959,7915,8028
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),2625,2498,2711,2856,2993,3253,3238,3585
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),307,276,232,302,288,325,250,390
Telekomunikacja (dział 61),355,334,365,347,376,394,388,386
Transport i gospodarka magazynowa (sekcja H),7035,7174,8266,8618,9361,10109,9903,10550
Turystyka (dział 79),187,176,191,186,186,189,157,138
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",2056,2017,2193,2180,2248,2285,2257,2279
Warmińsko-mazurskie,2599,2596,2769,2657,2858,2903,2856,2901
Wielkopolskie,10183,9630,11175,11103,11974,11998,12013,11986
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",881,1067,1099,1247,1286,1430,1467,1539
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",2790,3063,3413,3771,3951,4419,4391,4470
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",3314,3299,3450,3374,3431,3626,3515,3563
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",2306,2251,2333,2392,2430,2472,2442,2505
Wyżywienie (dział 56),2448,2159,2455,2442,2742,3019,2792,3038
Zachodniopomorskie,3559,3525,3948,4193,4150,4290,4000,3693
Zakwaterowanie (dział 55),1435,1291,1410,1412,1463,1522,1383,1408
Zakwaterowanie i wyżywienie (sekcja I),3883,3450,3865,3854,4205,4541,4175,4446
Łódzkie,6076,5783,6117,6017,6294,6539,6664,6241
Śląskie,12150,11856,12796,11792,12667,13284,13273,13121
Średnie (50-249 pracujących),14166,14593,15350,15728,16188,16153,15816,16213
Świętokrzyskie,2180,2211,2434,2333,2489,2624,2556,2756
