Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),10294,15550,5965,6195,0,4259ᵛ,5532,5400
Badania naukowe i prace rozwojowe (dział 72),0,0,0,1208,0,221ᵛ,938,.
Budownictwo (sekcja F),2109,0,14298,5292,4289,8011ᵛ,5340,7515
Dolnośląskie,26643,21889,42579,21841,15711,41015ᵛ,18756,31090
"Dostawa wody, ścieki i odpady (sekcja E)",394,0,0,0,699,790ᵛ,1301,.
Duże (250 i więcej pracujących),263639,361786,221411,137170,295645,238797,261771,300733
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),3142,420,0,0,0,0,128,.
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),19931,0,0,0,1119,0,740,4561
Działalność związana z oprogramowaniem (klasa 62.01),4294,4078,20582,2974,7630,21767ᵛ,11178,18408
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),809,0,0,0,19575,0,0,7731
"Energia elektryczna, gaz, ciepło (sekcja D)",3123,0,0,0,1843,773ᵛ,338,.
Handel detaliczny (dział 47),27799,32197,20881,17904,37347,21493ᵛ,68304,57229
Handel hurtowy (dział 46),11816,19167,1265137,23829,33286,16757ᵛ,40477,34061
Handel i naprawa pojazdów (dział 45),6223,14207,2610,6338,8216,5524ᵛ,3126,16971
Handel i naprawy (sekcja G),45838,65571,1288628,48071,78849,43774ᵛ,111907,108261
Informacja i komunikacja (sekcja J),77760,122335,71944,81819,237183,63755ᵛ,52453,118377
Informatyka i usługi informacyjne (działy 62÷63),27672,62874,28019,45372,89149,41228ᵛ,33120,94661
Kujawsko-pomorskie,6446,0,1506,5669,9265,1345ᵛ,5470,8513
Lubelskie,443,1330,398,224,1165,2646ᵛ,1122,3183
Lubuskie,7065,0,4404,8478,1223,2888,2131,3445
Mazowieckie,96617,240351,1363271,95258,219080,141054ᵛ,136353,206111
Małe (10-49 pracujących),46460,54558,1266861,43336,48166,36274ᵛ,52622,52850
Małopolskie,11954,9819,25739,16521,48665,19932ᵛ,13153,22415
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),0,0,0,516,0,54,0,.
Obsługa rynku nieruchomości (sekcja L),6122,1478,1501,2311,7698,7523ᵛ,0,.
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",6550,0,4903,0,0,3142ᵛ,4808,5188
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",2641,0,1223,762,63,2467ᵛ,206,323
Opolskie,1000,1012,498,1178,1015,1993ᵛ,1878,1866
Podkarpackie,8724,7268,0,5651,5229,6640ᵛ,0,8373
Podlaskie,346,212,0,777,497,2738ᵛ,0,1333
Pomorskie,10738,0,185049,20826,29735,24257ᵛ,23964,23826
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),67,0,0,12790,2681,2945ᵛ,412,.
Pozostałe (działy 31÷33),12400,2603,0,4463,5330,3053ᵛ,6700,3303
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",13506,0,0,9283,0,5370ᵛ,7306,5005
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),0,308,0,832,0,0,1607,1105
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",0,308,484,1011,0,0,1838,1287
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),0,9857,35129,8434,8989,6583ᵛ,19627,18889
Produkcja pojazdów (działy 29÷30),14301,32467,0,7761,20234,35401ᵛ,14403,10174
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",15439,17586,8936,12489,42589,25578ᵛ,50103,49283
Przemysł spożywczy (działy 10÷12),5012,43953,11836,5431,5155,5045ᵛ,4484,4888
Przetwórstwo przemysłowe (sekcja C),186576,153126,106641,60543,112100,160571,131588,123824
Razem (działy 10÷18),36777,79117,15889,11589,8858,10985ᵛ,7605,10947
Razem (działy 26÷33),46281,46566,46687,28031,51664,117425ᵛ,54253,44705
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),67843,86913,56605,75611,230951,106681ᵛ,45304,114566
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),0,132,172,1727,886,0,0,3152
Telekomunikacja (dział 61),36582,0,0,27164,0,17157ᵛ,12027,18711
Transport i gospodarka magazynowa (sekcja H),14974,23871,185328,11908,12855,43292ᵛ,30401,35171
Turystyka (dział 79),50,0,0,1531,0,153,0,0
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",19133,11188,13565,14796,0,0,31312,29941
Warmińsko-mazurskie,155,3255,4249,1861,1135,6019ᵛ,563,2136
Wielkopolskie,74561,27605,20541,27030,29120,38353ᵛ,56812,47033
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",3694,1468,0,0,0,964ᵛ,724,212
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",10244,0,0,4664,0,4106ᵛ,5532,5400
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",0,0,2830,5396,3640,3473ᵛ,2915,5736
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",3517,735,0,1013,2542,1563ᵛ,1639,3015
Wyżywienie (dział 56),210,797,96,311,110,153ᵛ,0,954
Zachodniopomorskie,4148,0,1729,1756,2150,3021ᵛ,4861,20937
Zakwaterowanie (dział 55),850,489,124,767,609,243ᵛ,0,134
Zakwaterowanie i wyżywienie (sekcja I),1060,1286,220,1078,719,396ᵛ,119,1088
Łódzkie,6705,3930,37927,8103,34126,5656ᵛ,6877,4374
Śląskie,96221,79252,29236,19181,67565,40650ᵛ,70904,61420
Średnie (50-249 pracujących),43756,28758,247777,56790,126400,76562ᵛ,50433,96691
Świętokrzyskie,2090,2198,3006,2941,4529,13424ᵛ,0,4220
