Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),47411,84745,83869,44755,0,63359ᵛ,46913,177085
Badania naukowe i prace rozwojowe (dział 72),0,0,0,273,0,54973ᵛ,7487,.
Budownictwo (sekcja F),20449,0,54805,24618,14857,17803ᵛ,28395,31971
Dolnośląskie,35730,34059,99391,64763,105484,81290ᵛ,80061,212188
"Dostawa wody, ścieki i odpady (sekcja E)",4260,0,0,0,2749,5245ᵛ,5428,.
Duże (250 i więcej pracujących),809857,1476372,1447224,933935,957399,1599319ᵛ,1236837,1516268
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),18777,0,0,0,0,19440ᵛ,17332,.
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),4009,0,0,0,5577,0,41483,1334
Działalność związana z oprogramowaniem (klasa 62.01),39706,23922,583694,71588,59733,191943ᵛ,131041,375452
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),0,0,0,0,56805,0,0,345
"Energia elektryczna, gaz, ciepło (sekcja D)",92455,0,0,0,13635,78677,69493,.
Handel detaliczny (dział 47),50921,156511,121213,103024,155652,130242ᵛ,128524,104444
Handel hurtowy (dział 46),51990,185505,111154,117978,103237,224516ᵛ,143210,195421
Handel i naprawa pojazdów (dział 45),5528,21500,27376,13422,16252,107096ᵛ,30242,37871
Handel i naprawy (sekcja G),108439,363516,259743,234424,275141,461854ᵛ,301976,337736
Informacja i komunikacja (sekcja J),351869,510951,1175554,675897,680836,1241830ᵛ,879728,1386055
Informatyka i usługi informacyjne (działy 62÷63),49711,73148,634471,165999,172446,443824ᵛ,319143,671094
Kujawsko-pomorskie,36292,0,109542,16076,26856,32921ᵛ,24511,86617
Lubelskie,1626,37913,6489,18702,19207,13771ᵛ,16988,41019
Lubuskie,14107,0,53109,7240,6593,11446ᵛ,4427,2374
Mazowieckie,501346,1146722,1142216,905874,801251,1389327ᵛ,1039999,1423691
Małe (10-49 pracujących),147697,148927,672942,208464,147274,343440ᵛ,215105,465507
Małopolskie,19916,108312,95851,83735,62004,73129ᵛ,152440,151628
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),2934,1322,0,178,0,5669ᵛ,0,.
Obsługa rynku nieruchomości (sekcja L),9148,14965,5890,3610,8382,5812ᵛ,0,.
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",6672,0,50630,0,0,11681ᵛ,7529,68846
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",5421,0,32334,1543,3005,5455ᵛ,2558,2810
Opolskie,4643,18182,18912,12641,9836,11378ᵛ,9725,10600
Podkarpackie,31344,36196,0,7885,9965,19569ᵛ,0,25580
Podlaskie,12114,7481,0,3372,20792,40396ᵛ,0,23851
Pomorskie,89610,0,69050,54507,99166,103825ᵛ,98129,116561
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),0,0,19616,24688,5290,27354ᵛ,63048,.
Pozostałe (działy 31÷33),33621,43596,0,4137,9887,8181ᵛ,9812,62683
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",31913,0,0,72833,0,72668ᵛ,77203,113757
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),352,2694,0,1735,0,0,12481,3075
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",3404,5411,2832,3454,0,0,16413,11725
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),42811,23114,140015,27811,41558,71383ᵛ,39859,31562
Produkcja pojazdów (działy 29÷30),62368,82054,0,18927,13380,20074ᵛ,51475,15346
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",33535,192473,125971,114489,56312,48396ᵛ,64518,58349
Przemysł spożywczy (działy 10÷12),36883,70960,168427,36943,47170,58470ᵛ,54887,77974
Przetwórstwo przemysłowe (sekcja C),332699,530325,672728,232824,216911,302184ᵛ,286511,353805
Razem (działy 10÷18),113952,100012,211914,46372,66620,92332ᵛ,72198,118294
Razem (działy 26÷33),142401,214726,194828,44152,52421,90073ᵛ,109936,145600
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),348442,525484,1014159,627015,626357,1201342ᵛ,836642,1293094
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),7074,24384,6846,11973,2049,4725ᵛ,0,3109
Telekomunikacja (dział 61),0,0,0,437065,0,725338ᵛ,483382,601204
Transport i gospodarka magazynowa (sekcja H),43265,471878,100680,27537,44189,36292ᵛ,61980,63343
Turystyka (dział 79),512,0,0,11109,0,14972ᵛ,7314,46859
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",43008,83665,119762,17634,0,0,32236,55846
Warmińsko-mazurskie,2438,3402,5620,4754,7185,12978ᵛ,15293,8018
Wielkopolskie,212434,419361,65140,68874,63372,294905ᵛ,123081,169521
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",40227,27231,0,0,0,36706ᵛ,32070,61380
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",46899,0,0,33646,0,48387ᵛ,39599,130226
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",71648,0,11153,7886,16445,28407ᵛ,14753,37510
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",96715,33264,0,30938,16384,83922,74921,61080
Wyżywienie (dział 56),0,12598,58871,5986,4188,1897ᵛ,0,875
Zachodniopomorskie,6058,0,8697,5243,19005,75497ᵛ,17882,13489
Zakwaterowanie (dział 55),0,6925,1292,410,1850,1618ᵛ,0,414
Zakwaterowanie i wyżywienie (sekcja I),9827,19523,60163,6396,6038,3515ᵛ,3235,1289
Łódzkie,21022,16301,574582,12008,36619,54509ᵛ,77636,68865
Śląskie,51403,208328,89940,117319,86832,114032ᵛ,72603,163080
Średnie (50-249 pracujących),91686,576517,415243,243472,273936,392196ᵛ,355845,538956
Świętokrzyskie,9157,10313,25341,2880,4440,5981ᵛ,0,3647
