Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),168376,289537,290459,220381,226238,275159ᵛ,260395,449112
Badania naukowe i prace rozwojowe (dział 72),12548,37799,45480,28568,41381,84937ᵛ,110771,59451
Budownictwo (sekcja F),130656,473396,1584641,185087,224226,252180ᵛ,194141,189606
Dolnośląskie,441750,454462,436203,386521,467590,447283,514792,752462
"Dostawa wody, ścieki i odpady (sekcja E)",71983,87742,171742,75091,82395,77833,84003,93664
Duże (250 i więcej pracujących),4614671,7238555,10802031,5067650,5580715,7411068,7833213,8210698
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),37728,16513,19832,35503,28302,40125ᵛ,50359,44086
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),143130,62162,65073,22874,59162,73698ᵛ,94873,157096
Działalność związana z oprogramowaniem (klasa 62.01),224330,257002,779597,298166,315476,474359ᵛ,478418,891619
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),4918,17703,34377,89572,140801,11961ᵛ,40153,106964
"Energia elektryczna, gaz, ciepło (sekcja D)",653154,210736,240137,278834,229568,356680,274040,366070
Handel detaliczny (dział 47),627360,806195,812456,800246,902987,885538ᵛ,1954713,1268298
Handel hurtowy (dział 46),467780,697511,2681254,566091,628387,794623,666781,888690
Handel i naprawa pojazdów (dział 45),63001,94560,101615,112096,90107,181845ᵛ,105074,154182
Handel i naprawy (sekcja G),1158141,1598266,3595325,1478433,1621481,1862007,2726569,2311171
Informacja i komunikacja (sekcja J),1803834,2805790,3508539,2671532,2832588,3664338,3789138,4610078
Informatyka i usługi informacyjne (działy 62÷63),505633,560951,1090012,692101,780294,1013090,1075991,1759797
Kujawsko-pomorskie,238283,181549,223685,107054,228693,180884ᵛ,193961,345526
Lubelskie,69392,102884,226548,146959,150079,119849,105215,255723
Lubuskie,54047,105055,93848,87161,71759,71403,63750,94764
Mazowieckie,2793933,4968324,12133556,4021621,4178128,5074323,5085108,6128552
Małe (10-49 pracujących),1114638,862818,4305088,992615,1074126,1246651,1049953,1563572
Małopolskie,369965,542803,622716,430998,524548,631428,579280,1147932
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),14435,8388,9500,3975,8841,12978,11960,9548
Obsługa rynku nieruchomości (sekcja L),115979,117128,0,68167,118417,92894,89374,103082
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",85592,0,168783,146073,146384,166861ᵛ,187694,255180
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",59038,29448,66133,24466,40789,29144ᵛ,30507,34195
Opolskie,42373,64851,59411,52446,53644,108931ᵛ,67461,98373
Podkarpackie,146571,209964,477398,108608,109782,136159,148612,147130
Podlaskie,85746,78835,137251,37525,57627,85742ᵛ,62925,73465
Pomorskie,624122,827837,864700,293352,498146,523920,456909,684420
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),24882,36888,55777,98225,67477,87916ᵛ,186092,130049
Pozostałe (działy 31÷33),182702,151308,162463,97918,130036,199262ᵛ,314949,186095
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",296387,768382,782820,653360,331765,269565ᵛ,391817,490362
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),52419,46261,48809,40489,69360,91204ᵛ,51888,53748
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",64534,59209,60546,56209,93877,215261ᵛ,87726,98114
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),435175,196188,542824,153793,183125,314799ᵛ,211846,608409
Produkcja pojazdów (działy 29÷30),217389,501839,244349,134847,191035,210808,191110,376413
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",428481,547886,491914,410086,474874,623624,552826,537404
Przemysł spożywczy (działy 10÷12),272588,712078,447390,199069,268592,389837,327189,362233
Przetwórstwo przemysłowe (sekcja C),2072971,2704778,2920489,1335894,1688580,2528144,2071710,2736837
Razem (działy 10÷18),551519,1047108,779526,311251,434823,716318,498263,679913
Razem (działy 26÷33),657796,913596,1106225,460764,595758,873402,808774,911109
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),1644106,2137356,3719061,2118900,2605910,3545856,3518680,4271472
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),35610,35883,920564,35688,20795,22902ᵛ,27231,64604
Telekomunikacja (dział 61),1001814,1476457,1635707,1326071,1720529,2381682ᵛ,2321329,2359918
Transport i gospodarka magazynowa (sekcja H),305646,1043361,1119112,434191,516365,644813,531672,644739
Turystyka (dział 79),6078,0,61757,29323,22622,19092ᵛ,11247,59100
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",193171,201240,638867,171790,180810,248070,214988,250485
Warmińsko-mazurskie,34767,90016,95355,53275,106021,86913ᵛ,80807,125309
Wielkopolskie,1001050,1224360,689763,789137,665936,1424212,2052273,1137011
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",76706,55281,59919,44985,57232,89205ᵛ,61453,134831
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",162298,0,228702,191058,203616,256067ᵛ,249148,390011
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",219893,305582,266003,87716,125442,297335ᵛ,140566,283484
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",725137,298478,411879,353925,311963,434513,358044,459735
Wyżywienie (dział 56),27646,81433,99856,42445,22514,19929ᵛ,31858,35720
Zachodniopomorskie,85582,65884,71270,82117,123050,174604ᵛ,123698,158558
Zakwaterowanie (dział 55),23824,76494,62169,24634,31449,15812ᵛ,16887,46110
Zakwaterowanie i wyżywienie (sekcja I),51470,157927,162025,67079,53963,35742ᵛ,48746,81831
Łódzkie,204368,173016,834552,218427,301995,338831,333133,317873
Śląskie,625801,840044,481098,429066,641528,754988,806835,742336
Średnie (50-249 pracujących),1130660,1987473,2425200,1223939,1571506,1668843,1868656,2487020
Świętokrzyskie,42221,158964,84965,39937,47819,167087ᵛ,77056,51847
