Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),110671,189242,200624,169432,180994,207542ᵛ,207952,266626
Badania naukowe i prace rozwojowe (dział 72),12548,34985,42471,27087,41131,29744ᵛ,102348,44393
Budownictwo (sekcja F),108098,346018,1515538,155176,205080,226367ᵛ,160406,150222
Dolnośląskie,379376,398514,294490,299918,346395,324978ᵛ,416040,509303
"Dostawa wody, ścieki i odpady (sekcja E)",67329,62321,146595,62782,78947,71799,77324,86795
Duże (250 i więcej pracujących),3541176,5441720,9140461,3996546,4327670,5572953,6335095,6394340
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),15809,16093,17746,25422,10747,20686ᵛ,32899,31939
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),119191,51855,56420,21493,52466,70195ᵛ,52650,151202
Działalność związana z oprogramowaniem (klasa 62.01),180329,229002,175322,223604,248113,260856,336200,497760
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),4108,16911,0,76287,64422,6023ᵛ,30555,98888
"Energia elektryczna, gaz, ciepło (sekcja D)",557576,202301,219874,259192,214090,277231,204209,309175
Handel detaliczny (dział 47),548640,658225,675714,679319,709988,733803ᵛ,1757886,1107048
Handel hurtowy (dział 46),403974,493617,1304962,424284,491864,553351,483331,659209
Handel i naprawa pojazdów (dział 45),51250,58853,71628,92336,65639,69225ᵛ,71706,99341
Handel i naprawy (sekcja G),1003864,1210695,2052304,1195939,1267491,1356379,2312923,1865598
Informacja i komunikacja (sekcja J),1374207,2172503,2262046,1913816,1914597,2358960,2857055,3105647
Informatyka i usługi informacyjne (działy 62÷63),428251,424929,427772,480730,518727,528245,723728,994043
Kujawsko-pomorskie,195546,133968,112636,85310,192572,146628ᵛ,163980,250966
Lubelskie,67323,63642,219716,128033,129707,103432ᵛ,87105,211521
Lubuskie,32875,71466,36415,71443,63943,57069,57192,88946
Mazowieckie,2195969,3581251,9629412,3020488,3157797,3543942,3908757,4498750
Małe (10-49 pracujących),920481,659981,2366423,740815,878714,867535,782562,1045683
Małopolskie,338095,424673,501127,330741,413879,538368,413687,973890
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),11501,7066,6551,3281,3594,0,7675,5918
Obsługa rynku nieruchomości (sekcja L),100709,100686,0,62246,102337,79570,81889,94100
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",72370,157608,113249,114638,134540,152039ᵛ,175358,181145
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",50976,20525,32576,22161,37721,21222,27742,31062
Opolskie,36731,45656,40036,38627,42792,95560ᵛ,55859,85907
Podkarpackie,106504,166645,339012,95072,94589,109951,117236,113178
Podlaskie,73286,71142,88835,33376,36337,42609ᵛ,39589,48282
Pomorskie,523773,719147,610685,218020,369244,395839,334816,544034
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),24266,29291,36161,60747,59533,57618ᵛ,122633,70283
Pozostałe (działy 31÷33),136681,105108,114513,89318,115374,188028ᵛ,298437,120109
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",250968,721213,595670,571244,247612,191527ᵛ,307308,371601
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),51620,43259,47232,37922,63725,0,38676,49568
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",60683,53490,57230,51743,86404,158292ᵛ,70351,85103
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),304286,163217,367679,117548,132577,236834ᵛ,152424,557958
Produkcja pojazdów (działy 29÷30),140720,387318,188176,108159,157421,155334,125444,350893
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",379506,337827,358127,283107,375974,549651,438417,430358
Przemysł spożywczy (działy 10÷12),230693,597569,267319,156695,216267,326323,267818,279372
Przetwórstwo przemysłowe (sekcja C),1553697,2021729,2143449,1042525,1360123,2065783,1654971,2259792
Razem (działy 10÷18),400790,868382,551915,253291,359345,613394ᵛ,418458,550673
Razem (działy 26÷33),469115,652303,865728,388579,492227,665904,645672,720803
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),1227821,1524959,2648966,1416275,1748630,2238039,2637709,2863812
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),28537,11367,913546,21988,17861,18177ᵛ,24032,58344
Telekomunikacja (dział 61),694988,1026361,1238604,861842,1148258,1639188ᵛ,1826019,1740003
Transport i gospodarka magazynowa (sekcja H),247406,547612,833238,394746,459322,565230ᵛ,439292,546225
Turystyka (dział 79),5516,5052,37253,16683,6485,3967,3934,12242
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",131031,106387,505809,139359,133028,164250,151440,164698
