Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),95996,145389,168870,147127,150032,143586ᵛ,119327,228231
Badania naukowe i prace rozwojowe (dział 72),11330,31301,33859,26244,39613,27420ᵛ,99799,41419
Budownictwo (sekcja F),82841,234221,1295190,109914,141229,179177ᵛ,115400,113937
Dolnośląskie,317114,326512,239133,250180,277728,238846,324893,412277
"Dostawa wody, ścieki i odpady (sekcja E)",38722,53170,103917,47377,58127,57493,52287,65074
Duże (250 i więcej pracujących),2333551,3381227,6882873,2518866,2901671,3607507,4260445,4141740
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),14854,0,16453,24832,10417,20284ᵛ,28752,29856
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),110786,48132,53709,18223,49938,67401ᵛ,46361,142723
Działalność związana z oprogramowaniem (klasa 62.01),156798,202866,144836,186657,217615,224169,296510,451675
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),3772,0,0,42034,57319,5316ᵛ,27294,96045
"Energia elektryczna, gaz, ciepło (sekcja D)",315489,116201,132396,187218,151125,124995,116891,150473
Handel detaliczny (dział 47),446225,531717,507200,567495,544980,585695ᵛ,1556059,877266
Handel hurtowy (dział 46),317597,385470,1255274,363067,405880,458025,392603,515401
Handel i naprawa pojazdów (dział 45),45057,43035,62858,63016,56241,56670ᵛ,59148,86125
Handel i naprawy (sekcja G),808879,960222,1825332,993578,1007101,1100390,2007810,1478792
Informacja i komunikacja (sekcja J),648547,823343,1041520,783089,1034548,1051090,1259478,1564032
Informatyka i usługi informacyjne (działy 62÷63),384512,384149,377583,394249,460628,468263,648638,910347
Kujawsko-pomorskie,172760,71004,77030,62272,146055,111699ᵛ,136271,208406
Lubelskie,55188,46993,161608,103495,102983,82738ᵛ,73246,187707
Lubuskie,28196,47169,29133,60193,52025,48839ᵛ,44362,76312
Mazowieckie,1356599,2063740,7201120,1696201,1935617,1938794,2071439,2559883
Małe (10-49 pracujących),735412,504638,1992971,578458,614678,685440,585736,819094
Małopolskie,236394,353777,385860,238858,299982,399102ᵛ,319897,875316
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),10186,6536,5895,2812,3094,0,6587,4422
Obsługa rynku nieruchomości (sekcja L),70851,79251,0,44716,66636,49098ᵛ,45288,63484
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",62566,122718,89873,97202,110097,99329ᵛ,92683,151494
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",48431,17884,28404,19512,18945,16154,24406,20222
Opolskie,31430,39842,32864,32846,33547,90316ᵛ,48752,76105
Podkarpackie,91071,153270,270405,80791,82821,91245,100063,91927
Podlaskie,62151,53604,75546,26058,28615,29574,28602,39864
Pomorskie,331025,510513,488456,178649,294466,343410,273211,412192
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),21256,27345,26315,55402,54717,54095ᵛ,114633,66660
Pozostałe (działy 31÷33),128098,89603,76185,74430,91120,153755ᵛ,225364,101015
"Prasa, radio i telewizja, wytwórnie filmowe i fonograficzne (działy 58÷60)",151647,109777,464472,138295,148291,133514ᵛ,206559,277753
Produkcja komputerów i wyrobów elektronicznych (grupy 26.1÷26.4),45129,38153,42994,26250,58042,0,32144,41593
"Produkcja komputerów, wyrobów elektronicznych i optycznych (dział 26)",53139,47499,52095,39014,79721,151500ᵛ,62586,75456
Produkcja metali i metalowych wyrobów gotowych (z wyłączeniem maszyn i urządzeń) (działy 24÷25),189039,123015,321734,98999,104513,214023ᵛ,128014,515676
Produkcja pojazdów (działy 29÷30),118276,337624,157049,94904,129095,125246,103325,328009
"Przemysł chemiczny i farmaceutyczny, ceramika i przetwarzanie materiałów niemetalicznych (działy 19÷23)",320299,277283,295646,232142,296489,493413,382862,349768
Przemysł spożywczy (działy 10÷12),170976,383683,213015,122210,177806,208471,226769,221373
Przetwórstwo przemysłowe (sekcja C),1243197,1579483,1800547,862851,1082384,1715874,1382431,1968946
Razem (działy 10÷18),330742,617921,440478,203383,271091,441530ᵛ,350838,457313
Razem (działy 26÷33),403117,561264,742689,328327,410291,566908,520717,646189
Sektor ICT (działy 61÷62 i grupy 26.1÷26.4 + 26.8 + 46.5 + 58.2 + 63.1 + 95.1),589812,778049,1551879,703696,960828,979932,1127693,1395960
Sprzedaż hurtowa narzędzi technologii informacyjnej i komunikacyjnej (grupa 46.5),25507,9713,911969,19789,16916,16413ᵛ,22027,48531
Telekomunikacja (dział 61),112388,329417,199465,250545,425629,449313ᵛ,404281,375932
Transport i gospodarka magazynowa (sekcja H),199657,449732,635075,323673,310481,478086ᵛ,354281,399142
Turystyka (dział 79),5143,4705,33781,15995,5670,3337,3342,11210
"Urządzenia elektryczne, produkcja maszyn i urządzeń (działy 27÷28)",103604,86538,457360,119979,110355,136407,129442,141709
Warmińsko-mazurskie,24015,70382,64725,38818,64168,60899ᵛ,57359,97564
Wielkopolskie,561310,541638,485834,587792,463681,904229ᵛ,1717582,761536
"Wynajem, dzierżawa, doradztwo personalne (działy 77÷78)",28287,17966,45216,33930,34265,40920ᵛ,23302,65527
"Wynajem, dzierżawa, doradztwo personalne oraz ochrona i utrzymanie czystości (działy 77÷78 + 80÷82)",90853,140684,135089,131132,144362,140249ᵛ,115985,217021
"Wyroby drewniane (bez mebli), papiernictwo i poligrafia (działy 16÷18)",111335,216354,199059,61661,74340,216905ᵛ,99663,215718
"Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i parę wodną, dostawa wody. Gospodarowanie ściekami i odpadami (sekcje D i E)",354211,169371,236313,234595,209252,182488,169178,215547
Wyżywienie (dział 56),14664,59953,32957,33577,14207,14791ᵛ,26063,29966
Zachodniopomorskie,54983,44995,43713,62531,81609,79167ᵛ,80898,88220
Zakwaterowanie (dział 55),13876,42687,53002,18620,18389,10350ᵛ,10906,32178
Zakwaterowanie i wyżywienie (sekcja I),28540,102640,85959,52197,32596,25141ᵛ,36969,62144
Łódzkie,127545,117403,168895,154502,176416,205613,195852,197714
Śląskie,307694,424690,292074,244721,410405,522796,475004,436560
Średnie (50-249 pracujących),715743,1106383,1178840,745943,963711,996373,1128262,1596897
Świętokrzyskie,27230,126715,38286,25358,29941,142054ᵛ,27014,36147
