Region,2015,2016,2017,2018,2019,2020,2021,2022
Administrowanie i działalność wspierająca (sekcja N),14675,43854,31755,22305,30961,64134ᵛ,88650,38397
Badania naukowe i prace rozwojowe (dział 72),1218,3684,8612,844,1518,2324ᵛ,2549,2974
Budownictwo (sekcja F),25257,111797,220348,45262,63851,47208ᵛ,45006,36553
Dolnośląskie,62262,72002,55408,49737,68666,86312ᵛ,91280,97026
"Dostawa wody, ścieki i odpady (sekcja E)",28607,9151,42678,15406,20820,14306ᵛ,25086,21721
Duże (250 i więcej pracujących),1207625,2060513,2257648,1477680,1426001,2001801,2075476,2260696
Działalność wydawnicza w zakresie oprogramowania (grupa 58.2),955,0,1293,590,331,401ᵛ,4147,2083
Działalność związana z doradztwem w zakresie informatyki (klasa 62.02),8405,3723,2712,3270,2528,2794ᵛ,6289,8478
Działalność związana z oprogramowaniem (klasa 62.01),23531,26446,30486,36947,30498,36687ᵛ,39689,49852
Działalność związana z zarządzaniem urządzeniami informatycznymi (klasa 62.03),336,0,0,34253,7102,707ᵛ,3261,2842
"Energia elektryczna, gaz, ciepło (sekcja D)",242087,86100,87478,71974,62965,152236,87319,159710
Handel detaliczny (dział 47),102415,126563,168513,111824,165322,148108ᵛ,201967,231435
Handel hurtowy (dział 46),86377,108282,49689,61217,85984,95326ᵛ,91032,146711
Handel i naprawa pojazdów (dział 45),6193,15818,8770,29320,9434,12616ᵛ,12596,16232
Handel i naprawy (sekcja G),194985,250663,226972,202361,260740,256050,305595,394378
Informacja i komunikacja (sekcja J),725660,1349469,1220526,1130726,880049,1307870ᵛ,1597684,1547301
Informatyka i usługi informacyjne (działy 62÷63),43738,41089,50188,86481,58099,59982ᵛ,75090,87463
Kujawsko-pomorskie,22786,62963,35606,23038,46518,34954ᵛ,27709,43055
Lubelskie,12135,16649,58108,24538,26725,20694ᵛ,13859,23813
Lubuskie,4678,24297,7281,11251,11918,8229ᵛ,12882,16584
Mazowieckie,839371,1517532,2428292,1324287,1222281,1631340ᵛ,1837317,1944835
Małe (10-49 pracujących),185069,155791,373516,162358,264139,182861ᵛ,197240,236722
Małopolskie,101701,70896,115266,91884,113897,139266ᵛ,93790,99187
Naprawa i konserwacja komputerów i sprzętu komunikacyjnego (sekcja S grupa 95.1),1315,530,656,469,500,0,1089,1497
Obsługa rynku nieruchomości (sekcja L),29858,21477,0,17529,35701,30479ᵛ,36602,30800
"Ochrona, utrzymanie czystości itp. (działy 80÷82)",9804,34890,23377,17436,24443,52709ᵛ,82700,29652
"Odzież, tekstylia, wyroby skórzane (działy 13÷15)",0,2641,4172,2649,18776,5068ᵛ,3336,10840
Opolskie,5301,5814,7172,5781,9245,5244ᵛ,7108,9922
Podkarpackie,15433,13430,68606,14281,11768,18706ᵛ,17173,21251
Podlaskie,11134,17538,13289,7318,7722,13035ᵛ,10987,8417
Pomorskie,192748,208634,122236,39371,74778,52429ᵛ,61605,132064
Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych (klasa 62.09),3010,1946,9847,5345,4816,3523ᵛ,8000,3622
Pozostałe (działy 31÷33),8584,15505,38329,14888,24275,44418ᵛ,73074,19254
